objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation,object_location,display_template
psychiana040,mg101_b6_photographs_05.jpg,,Portrait of Frank B. Robinson [02],image/jpeg,"Portrait of middle-aged Frank B. Robinson wearing a suit, tie, vest, and black pork pie hat.",,,1935,yes,single-page; photographs,Portraits; Middle-Aged Frank B. Robinson,,,,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Photographs'",mg101_b6_photographs_05,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,,,
psychiana041,mg101_b6_photographs_08.jpg,,Portrait of Frank B. Robinson [03],image/jpeg,Portrait of middle-aged Frank B. Robinson wearing a three piece suit with pocket watch and sitting in an ornate chair with animals carved into the handles.,,,1935,yes,single-page; photographs,Portraits; Middle-Aged Frank B. Robinson,,,,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Photographs'",mg101_b6_photographs_08,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,,,
psychiana042,mg101_b7_f23_040.pdf,,Sales - Agents Application Blank,application/pdf,Fill out and sign enclosed 'Sales Agents Application Blank'. Notice to inform students about becoming sale agents for Psychiana and receiving a 33 1/3% commission.,,Students,1936,yes,multiple-page; application forms,Application; Commission; Teaching; Sales Agent; Spreading Psychiana,,,,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 7, Folder 23",mg101_b7_f23_040,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,,,
psychiana043,mg101_b7_f23_041.pdf,,Order Blank,application/pdf,"Order form blank for Psychiana written materials with retail, cost, and profit columns.",,Sales Agents,1936,yes,single-page; order forms,Order Blank; Prices; Psychiana Publications,"New York, NY",40.713569,-74.023587,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 7, Folder 23",mg101_b7_f23_041,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,,,
psychiana044,mg101_b7_f23_042.pdf,,Daily Procedure For Every 'Psychiana' Student,application/pdf,Frank B. Robinson gives his students five procedures to do daily in addition to the exercises to do the lessons.,"Robinson, Frank B.",Students,1935,yes,single-page; instructions,Students Exercises; Psychiana Affirmations,,,,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 7, Folder 23",mg101_b7_f23_042,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,,,
psychiana045,mg101_b7_f23_043.pdf,,"Dr. Frank B. Robinson Speaking to Packed house in the TRINITY AUGITORIUM Los Angeles, California, January 27th 1935",application/pdf,A flyer announcing a Frank B. Robinson speaking engagement at Trinity Auditorium.,,,1935-01-27,,multiple-page; flyers,Successful; Material Abundance; Spiritual Abundance Reason; Law; Los Angeles,"Los Angeles, CA",34.054709,-118.261773,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 7, Folder 23",mg101_b7_f23_043,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,,,
psychiana046,mg101_b7_f23_044.pdf,,The New Psychiana,application/pdf,Flyer announcing Frank B. Robinson's new Lessons.,,new members,1945,yes,multiple-page; flyers,Doomed; Atomic War; Hiroshima; Civilizations; World War,,,,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 7, Folder 23",mg101_b7_f23_044,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,,,
psychiana047,mg101_b6_photographs_03.jpg,,Several portrait photographs of a younger Frank B. Robinson,image/jpeg,"Three portrait photographs of a young Frank B. Robinson, two of which have been cut out, wearing the same suit but posing differently in each photograph. 'Age 16' written in pencil in white space.",,,1902,yes,single-page; photographs,Portraits; Young Frank B. Robinson,,,,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Photographs'",mg101_b6_photographs_03,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,,,
psychiana063,mg101_b7_f31_023.pdf,,Marilyn Allen's Challenge,application/pdf,Advertisement depicts a man in a suit holding bags of money and a challenge to those that that think God and Right can bring Hitler to his knees. Also includes a letter about Psychiana's need for money in a campaign called ''Blitzkrieg' for God.' Includes a 'Blitzkrieg Campaign' button pin with an illustration of Hitler.,"Allen, Marilyn R.",,1942,yes,multiple-page; advertisements,Donations; Blitzkrieg; Hitler; Success; World War; Illustrations,,,,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 7, Folder 31",mg101_b7_f31_023,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,,,
psychiana064,mg101_b7_f31_026.pdf,,It Took the Manifestation of Adolf Hitler,application/pdf,Flyer that claims the appearance of Hitler and Nazi Germany will lead to the revelation of Psychiana to all peoples of the world.,,,1942,yes,single-page; flyers,Hitler; Spirit of God; Prayer; Speak Into Existence; Psychiana Affirmations,,,,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 7, Folder 31",mg101_b7_f31_026,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,,,
psychiana065,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b7_f32_003.pdf,,Coming to Portland,application/pdf,"Alternative flyer advertising speeches by Robinson at the Psychiana National Convention in Portland, OR. Includes a portion of text describing the event, including speech, meet-and-greet, etc.",,,1934-11-29,,single-page; flyers,Portland; God-Realm; God-Law,"Portland, OR",45.57872,-122.71349,,University of Idaho Library Digital Initiatives - https://www.lib.uidaho.edu/digital/,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 7, Folder 32",mg101_b7_f32_003,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,,,
psychiana066,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b6_psychiana_photographs_012.jpg,,William Walter DeBolt at his Desk,image/jpeg,"Photograph of W.W. DeBolt sitting at his desk beside a Dictaphone and typewriter with several stacks of paper and a hardback book with Frank B. Robinson's face on the cover. [Later illustrations of this man on Psychiana documents may indicate this is actually C.W. Tenney, and was mislabeled.]",,,1938,yes,single-page; photographs,Psychiana Headquarters; Psychiana Staff; W.W. DeBolt,,,,,"University of Idaho Library Digital Initiatives, https://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Psychiana Photographs'",mg101_b6_psychiana_photographs_012,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,,,
psychiana067,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/mg101_b7_f32_006.pdf,,Dr. Frank B. Robinson Speaking to Packed House,application/pdf,Flyer with large photograph of Robinson giving a speech to a full auditorium. Text follows regarding Robinson 'usually' filling the 'largest auditoriums whenever he speaks' and his waxing popularity.,,,1934-05-01,,single-page; flyers,Spokane; Auditorium,"Los Angeles, CA",34.054709,-118.261773,,University of Idaho Library Digital Initiatives - https://www.lib.uidaho.edu/digital/,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 7, Folder 32",mg101_b7_f32_006,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,,
gallery001,,,"Blackwell Gallery",application/ld+json,"Gallery of images displayed via IIIF manifest in Universal Viewer.",,,2025-05-23,,Gallery viewer for selected Caltech student life images,,,,,,,,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Caltech Archives and Special Collections",,Image,eng,,"https://camp5456.github.io/test-exhibit-builder/objects/iiif/gallery-manifest.json",iiif
